
0x0061063d ゲームの設定が出来る場所だよ。
0x0061be71 　　スタジオ　ディーン仕上部　　　　
0x0061be98 　　辻　美也子　　　　　　　　　　　
0x0061bebd 　　河南　正昭　　　　　　　　　　　
0x0061bee4 　　村上　真紀　　　　　　　　　　
0x0061bf07 　　河野　依里子　　　　　　　　　
0x0061bf2a 　　渡邉　望　　　　　　　　　　　
0x0061bf4d 　　小林　くみ　　　　　　　　　　
0x0061bf70 　　河本　美代子　　　　　　　　　
0x0061bf94 　作画　　　　　　　　　　　　　　
0x0061bfb8 　　田頭しのぶ　　　　　　　　　　
0x0061bfdc 　アニメーションスタッフ　　　　　　
0x0061c001 　キャラクターデザイン　　　　　
0x0061c024 　キャラクターボイス　　　　　　　　
0x0061c049 　　　　　　　　　　　　　　　　　　
0x0061c06e 　　朴　∀美　　　　　　　　　　　　
0x0061c094 　原作　　　　　　　　　　　　　　　
0x0061c0b9 　　　　　　　　　　　　　　　　　　
0x0061c0de 　　福地　翼　　　　　　　　　　　　
0x0061c3bc 　　　　　　　　　　　　　　
0x0061e9f5 槍の中からヤリヤリ虫だけを仕留める
0x0061ea18 試練ケン！迷いがあってはだめだケン！
0x0061ea49 交互に入れ替わる重力に耐え
0x0061ea64 ハエを捕まえる試練。把握力が試される。
0x0061ea95 台の上から落ちない様にする試練です！
0x0061eaba バランスをとりつつ球をよけるのです！
0x0061eae9 パンチングマシンが一番手前まで来たら
0x0061eb0e 叩くッチ。半端な力じゃダメッチ。
0x0061eb4d あきれ返るケン。
0x0061eb5e オトトイ来るケン。
0x0061eb85 こいつには三ツ星の
0x0061eb98 資質なかったケンね
0x0061ebbd まぁまぁケンね。
0x0061ebce でもまだまだケン
0x0061ebf9 なかなかやるケン。
0x0061ec0c 更に上を目指すケン
0x0061ec39 すごいケン！！
0x0061ec48 見直したケン！！
0x0061ec65 それはないのでは
0x0061ec76 ないかね？
0x0061ec95 慌てんでもよい。
0x0061eca6 ゆっくり頑張れ。
0x0061ecc9 よくやったクリアだ
0x0061ecdc さらに精進したまえ
0x0061ed09 余裕でクリアだ。
0x0061ed1a まだ上を狙うのか？
0x0061ed49 そんなに生き急がな
0x0061ed5c くてもよいのに。
0x0061ed79 どうしたんですか？
0x0061ed8c やり直しますか？
0x0061edb1 もうすこしなんです
0x0061edc4 が、まだまだです！
0x0061ede9 そこそこです！
0x0061edf8 一応クリアです！
0x0061ee25 まぁまぁできてるん
0x0061ee38 じゃないですか？
0x0061ee65 すごいです！
0x0061ee72 最高です！
0x0061ee89 どうしたッチ？
0x0061ee98 やる気あるッチか？
0x0061eebd もっと全力ッチ！
0x0061eece がんばるッチ！
0x0061eef1 とりあずクリアッチ
0x0061ef04 まだやれるッチよ！
0x0061ef31 やればできるッチ
0x0061ef42 もっとやれるッチよ
0x0061ef71 こんなに出来るとは
0x0061ef84 おもわなかったッチ

